"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29909","transferMoneyToOtherAccountTests(double) [2] 0.01","","Sun May 17 18:15:53 UTC 2026","passed","Sun May 17 18:16:23 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","9987","depositMoneyFromSomeoneElseAccountNegativeTest()","","Sun May 17 18:15:34 UTC 2026","passed","Sun May 17 18:15:44 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyFromSomeoneElseAccountNegativeTest"
"","6964","depositMoneyMoreBalanceNegativeTest(double) [1] 5000.01","","Sun May 17 18:15:13 UTC 2026","passed","Sun May 17 18:15:20 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","7345","tryChangeUsernameWithIncorrectDataTest(String) [2] Имя","","Sun May 17 18:15:23 UTC 2026","passed","Sun May 17 18:15:30 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","19820","tryChangeUsernameWithIncorrectDataTest(String) [4] full.name","","Sun May 17 18:14:54 UTC 2026","passed","Sun May 17 18:15:14 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","29504","transferMoneyMoreThenPossibleTests(double) [2] 10000.01","","Sun May 17 18:15:45 UTC 2026","passed","Sun May 17 18:16:15 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyMoreThenPossibleTests"
"","18379","transferMoreMoneyThenIsInBalanceNegativeTests(double) [3] -1000.0","","Sun May 17 18:15:27 UTC 2026","passed","Sun May 17 18:15:46 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","33423","testTransferWithFraudCheck()","","Sun May 17 18:14:54 UTC 2026","passed","Sun May 17 18:15:28 UTC 2026","","api.TransferWithFraudCheckTests","api.TransferWithFraudCheckTests","testTransferWithFraudCheck"
"","15345","depositMoneyByUserTest(double) [3] 0.01","","Sun May 17 18:15:23 UTC 2026","passed","Sun May 17 18:15:38 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","1900","depositMoneyByAdminNegativeTest()","","Sun May 17 18:15:32 UTC 2026","passed","Sun May 17 18:15:34 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByAdminNegativeTest"
"","8591","tryChangeUsernameWithIncorrectDataTest(String) [5] full_name","","Sun May 17 18:15:14 UTC 2026","passed","Sun May 17 18:15:23 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","6049","depositMoneyNegativeBalanceNegativeTest(double) [1] -100.0","","Sun May 17 18:15:20 UTC 2026","passed","Sun May 17 18:15:26 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyNegativeBalanceNegativeTest"
"","15435","depositMoneyByUserTest(double) [1] 4999.99","","Sun May 17 18:15:38 UTC 2026","passed","Sun May 17 18:15:53 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","6588","tryChangeUsernameWithIncorrectDataTest(String) [3] имя.","","Sun May 17 18:15:30 UTC 2026","passed","Sun May 17 18:15:37 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","5392","depositMoneyOnNonExistentAccountNegativeTest()","","Sun May 17 18:15:44 UTC 2026","passed","Sun May 17 18:15:49 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyOnNonExistentAccountNegativeTest"
"","18905","transferMoneyToOtherAccountTests(double) [4] 9999.99","","Sun May 17 18:16:12 UTC 2026","passed","Sun May 17 18:16:31 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","26333","transferMoneyToOtherAccountTests(double) [1] 250.75","","Sun May 17 18:16:01 UTC 2026","passed","Sun May 17 18:16:27 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
