"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17718","transferMoneyToOtherAccountTests(double) [2] 0.01","","Thu Apr 30 20:56:05 UTC 2026","passed","Thu Apr 30 20:56:23 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyToOtherAccountTests"
"","6872","changeUsernameSystemTest(UserNameType) [2] SEMANTICALLY_INVALID","","Thu Apr 30 20:55:52 UTC 2026","passed","Thu Apr 30 20:55:59 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","changeUsernameSystemTest"
"","24246","transferMoreMoneyThenIsInBalanceNegativeTests(double) [2] 5000.01","","Thu Apr 30 20:55:22 UTC 2026","passed","Thu Apr 30 20:55:46 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","13769","depositMoneyMoreBalanceNegativeTest(double) [2] 5001.0","","Thu Apr 30 20:55:22 UTC 2026","passed","Thu Apr 30 20:55:36 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyMoreBalanceNegativeTest"
"","10624","transferMoreMoneyThenIsInBalanceNegativeTests(double) [1] 5001.0","","Thu Apr 30 20:55:59 UTC 2026","passed","Thu Apr 30 20:56:09 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoreMoneyThenIsInBalanceNegativeTests"
"","11306","depositMoneyByUserTest(double) [3] 0.01","","Thu Apr 30 20:55:44 UTC 2026","passed","Thu Apr 30 20:55:55 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
"","4642","tryChangeUsernameWithIncorrectDataTest(String) [1] ","","Thu Apr 30 20:55:53 UTC 2026","passed","Thu Apr 30 20:55:57 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","tryChangeUsernameWithIncorrectDataTest"
"","25245","testTransferWithFraudCheck()","","Thu Apr 30 20:55:22 UTC 2026","passed","Thu Apr 30 20:55:47 UTC 2026","","api.TransferWithFraudCheckTests","api.TransferWithFraudCheckTests","testTransferWithFraudCheck"
"","19539","transferMoneyMoreThenPossibleTests(double) [2] 10000.01","","Thu Apr 30 20:56:00 UTC 2026","passed","Thu Apr 30 20:56:20 UTC 2026","","api.TransferMoneyTests","api.TransferMoneyTests","transferMoneyMoreThenPossibleTests"
"","6793","changeUsernameSystemTest(UserNameType) [1] VALID_LATIN","","Thu Apr 30 20:55:59 UTC 2026","passed","Thu Apr 30 20:56:05 UTC 2026","","api.ChangeUserProfileTests","api.ChangeUserProfileTests","changeUsernameSystemTest"
"","10023","depositMoneyByUserTest(double) [1] 4999.99","","Thu Apr 30 20:55:55 UTC 2026","passed","Thu Apr 30 20:56:05 UTC 2026","","api.DepositMoneyTests","api.DepositMoneyTests","depositMoneyByUserTest"
